(-0.2245139882897925,0.07294901687515774) (-0.36327126400268034,-0.027864045000420265) (-0.2775145514257754,-0.09016994374947401) stop stop stop stop stop 
(-0.3632712640026803,0.11803398874989512) (-0.2245139882897925,0.07294901687515774) (-0.36327126400268034,-0.027864045000420265) stop stop stop stop stop 
(-0.44902797657958543,5.273559366969494e-16) (-0.4162718271386633,0.0450849718747376) (-0.27751455142577547,1.249000902703301e-16) (-0.3102707008666975,0.04508497187473735) (-0.3632712640026805,-0.11803398874989447) stop stop stop 
(-0.36327126400268034,-0.027864045000420265) (-0.2775145514257754,-0.09016994374947401) (-0.4490279765795853,-0.145898033750315) (-0.4490279765795853,-0.09016994374947382) (-0.31027070086669717,-0.19098300562505235) (-0.4162718271386627,-0.19098300562505213) stop stop 
(-0.2245139882897925,0.07294901687515774) (-0.1387572757128877,-0.045084971874737034) (-0.2775145514257754,-0.09016994374947401) stop stop stop stop stop 
(-0.22451398828979255,-0.01722092687431639) (-0.13875727571288754,0.04508497187473718) (-0.08575671257690462,-0.11803398874989468) (-0.19175783884887004,-0.11803398874989471) stop stop stop stop 
(-0.08575671257690493,0.11803398874989482) (-0.053000563135982864,0.0729490168751577) (-0.2245139882897925,0.07294901687515774) (-0.1387572757128877,-0.045084971874737034) (-0.08575671257690488,-0.027864045000420577) stop stop stop 
(-1.6653345369377348e-16,-5.551115123125783e-17) (-0.13875727571288754,0.04508497187473718) (-0.08575671257690462,-0.11803398874989468) stop stop stop stop stop 
(-0.27751455142577547,1.249000902703301e-16) (-0.3632712640026805,-0.11803398874989447) (-0.22451398828979255,-0.01722092687431639) (-0.22451398828979216,-0.16311896062463202) (-0.19175783884887004,-0.11803398874989471) stop stop stop 
(-0.5347846891564904,-0.11803398874989418) (-0.3632712640026805,-0.11803398874989447) (-0.5020285397155673,-0.21884705062547266) stop stop stop stop stop 
(-0.44902797657958543,5.273559366969494e-16) (-0.5347846891564904,-0.11803398874989418) (-0.3632712640026805,-0.11803398874989447) stop stop stop stop stop 
(-0.13875727571288815,-0.7188470506254732) (-0.0857567125769054,-0.7360679774997899) (-0.0530005631359833,-0.7811529493745272) (-0.0857567125769056,-0.8819660112501054) (-0.22451398828979324,-0.8368810393753682) (-0.22451398828979308,-0.7811529493745271) (-0.19175783884887135,-0.8819660112501053) stop 
(-0.13875727571288846,-0.8090169943749475) (-0.22451398828979302,-0.6909830056250523) (-0.08575671257690519,-0.6458980337503155) stop stop stop stop stop 
(-0.13875727571288846,-0.8090169943749475) (-0.08575671257690519,-0.6458980337503155) (-2.240903361474064e-16,-0.7082039324993695) stop stop stop stop stop 
